Artist	Album	ArtistHash	AlbumHash	PathHash
The Monks of Santa Domingo de Silos	Chant	AECB6C2FC539BAEE2AFAE9C0DE8511BBA62DA99D74304B2A8517690A255A450E	2B9B466C8B4A9DE465B60A6FF1FD861B91CB25E93AB206E02AB6DA6F17B4669F	6D3579689763B6C41587966B6B885E6C066BA3202D0679D5B3F95C31AE65DD7F
The Mugwumps	The Mugwumps	99C9905C3DFF836D0A44A30C34FFDE484E845E6E0F063EFA0FBC774F7D02D22A	99C9905C3DFF836D0A44A30C34FFDE484E845E6E0F063EFA0FBC774F7D02D22A	ADA29BA792F1BD53F3DF42E7E93AFBDECC7C7ABD76047F00836C24E70F19CC3D
The Odessa Balalaikas	The Art of the Balalaika	CF4958E9427D0BAFC9DC55BF541F360C8FBA7865EDA4409B88EA80B2FFAC8DA1	BF7C632D2445B82D646320D03D346849CFE9D8DE99CBEDAE77B345DE7B210C71	E293915257C772D18E1BB830EBED44DB69AC47F39B776805E07B42C878803F1C
The Proclaimers	Sunshine on Leith	5BF9B666ED632B784DE853330B93F013676AD01A6F4C6CEBFF52197C32D4E42D	CCEA39E5C37F6CF56E02D0CDF41BAE6121439DD82512545331969F07BA97231D	1CF7262BE8E198C4427BEDB2161B5366CE3EC8E1FED4AC972CAF882EA6DED8F3
The Rolling Stones	Steel Wheels	F9D348D766D00590E4008DF5C237FA5CC89AD1C5E35B49F8B19BB9CBADA034B8	FF5D48B1B79A648D08D52A0AB75793964AAF999D158E8DD2B98115302171DCDD	D3A21AC3F18FB302D8BAEC547519A9A51788483AD7992143E71C08E0FB6D3791
The Who	Tommy	6ED0337140BD32B4ADC5000F76333BD8CA6B2B2C9E0BC354335CF341456290E8	044F4B3501CD8E8131D40C057893F4FDFF66BF4032ECAE159E0C892A28CF6C8E	A29AA5E8DE09154899BD9AAA2628BAFDA438F458BF23323DBA482AAF076B5D26
The Who	Who's Next	6ED0337140BD32B4ADC5000F76333BD8CA6B2B2C9E0BC354335CF341456290E8	410222378417EB0F7A0DB0BCA333BC16C4A2D3518043B0CB1F9495B02D6D2E41	15F0ADBD4999E1D24F36C0B0A54B7818D866CB5B20C2754C5644536783E2E167
Thomas Gould	Thomas Gould  - Live in Riga	4AC6F8A5DE0CAF38BC4C6D9C0FBFF1FC4C89D27297A1C82D5CA16F762A82B400	F0E4B35C6ED739FA9C09A2F7F412A29AD2E085463A7E23DB2293782E2BB2881B	EC3E70503087B6D3E15BBD4F358F28547E187EF7BFEA174C29032C00D3FE7A18
Thomas Tallis	Tallis Ave, rosa sine spinis	4FD53D99D37A99A8FF026E04C8D2BAEEC937B0F0764A872EDD69EBC50A9A3C38	3A256566A7C8E3A5B6B36CCDABEEA4BDADC1AE4E8C65922BF3FABE3EFC37CCD7	474D87D19AEA304313E6F4FE95D5A8192A7D7AF00A245E39DAD543AA018931D4
Tim McGraw	Tim Mcgraw and the Dancehall Doctors	1786293C88C3A6EBBD7D791481FC17D4E4DA874533214792B1C498ABFEED4A7B	D6975D95FEB8F27D234BE6BA1264DE4A154DC7F3C1B80689257F79517867E953	1EAA11CB59F578F21C43FE093E888321A2EB776B78690F77D0933321060B1EEA
Toby Keith	How Do You Like Me Now	06CA04FAD9499471272BE984FFC3FD95C4B985A2B09D16D70DB63FDCF9D220D0	D498C75D9143C572C2AEB8917FB35CBC6E73FE023E54811672D4F79F0270E3C1	EE15A3206E13B3ECC6758543861EAA0A4C480E6CF3F5A79B6D32874BC4AB6E68
Tom Petty	Full Moon Fever	927E33DBEAFC6350545B6F4AB4ABCC20FECE3DF3AA00B2586E934F652E9CD788	D84383977DDD2095BD3D99E311EE920ACD2FC6E618636C17DEE7D65F65DA4F4C	D7F7F9BEAE5A6210A298BDA80F129ABDC94DD9BCA2E666068FEBAD0551DF0F98
Tom Petty & The Heartbreakers	Into the Great Wide Open	188798A9AC6D10006C0E4401B16683AE88414A24F32A94A874E2B0DFE8C5164C	30E774CC4EDC1027AC441C7B290FB1FD4D2424FB9A4F1342B11739EDB2C6B2C3	15E06E160A32EE508697C8786DF145F39E8F05A78683362EAE7EBA08B5A4715A
Tomaso Albinoni	Baroque, Vol. 1 - Albinoni- Concertos & Sonatas	E676606EAA713D3E15146D670E8103C7A4EC57F22653B5702C763C1146982A63	777D13E1E0084A3861B3DB45A16DFB100EA756AB127A52CA84A6322E151C8604	ADEFEFA771A557BB06665C50F6824159710E8116318FFD8DA1E5B4EEB9A4E392
Traveling Wilburys	The Traveling Wilburys, Vol 3	2A7D13836A5BF4C0B0BA5F72D008C50E8913D67ADE68C6455CC332784D0D3BDC	C2A4130A1C3945D4806EBDE139F0AF51BC434F32E9CE947EFBD96E80900705BC	130CC714953AACA1F875E2F03AA34167161FBCF71011146AA871213E06CB641C
